,6.1301,181.84,180.8,181.67,182.55
2005-01-04,6.2543,181.67,181.54,184.5,185.18
2005-01-05,6.2843,184.49,184.2,185.08,186.49
2005-01-06,6.2858,185.08,184.9,187.96,188.82
2005-01-07,6.3208,187.96,186.87,188.8,190.47
2005-01-08,6.3208,187.96,186.87,188.8,190.47
2005-01-09,6.3208,187.96,186.87,188.8,190.47
2005-01-10,6.3028,188.81,188.19,188.24,189.98
2005-01-11,6.2713,188.24,186.71,187.66,188.61
2005-01-12,6.2738,187.67,185.55,185.76,189.89
2005-01-13,6.2491,185.77,185.61,187.73,187.93
2005-01-14,6.267,187.73,186.82,187.05,189.19
2005-01-15,6.267,187.73,186.82,187.05,189.19
2005-01-16,6.267,187.73,186.82,187.05,189.19
2005-01-17,6.3037,187.05,186.97,188.27,188.66
2005-01-18,6.2971,188.28,188.04,188.93,189.93
2005-01-19,6.3024,188.93,187.79,189.1,189.8
2005-01-20,6.3411,189.1,188.87,190.26,191.0
2005-01-21,6.3474,190.26,187.62,188.01,190.62
2005-01-22,6.3474,190.26,187.62,188.01,190.62
2005-01-23,6.3474,190.26,187.62,188.01,190.62
2005-01-24,6.3143,188.01,187.59,188.63,188.85
2005-01-25,6.3458,188.63,187.61,188.9,189.89
2005-01-26,6.3504,188.9,186.79,187.1,189.5
2005-01-27,6.3496,187.1,186.51,187.71,188.41
2005-01-28,6.3645,187.71,186.32,186.83,188.51
2005-01-29,6.3645,187.71,186.32,186.83,188.51
2005-01-30,6.3645,187.71,186.32,186.83,188.51
2005-01-31,6.372,186.83,186.73,187.61,189.1
2005-02-01,6.3795,187.61,186.94,187.19,188.56
2005-02-02,6.35,187.19,186.98,187.43,187.92
2005-02-03,6.4004,187.43,187.08,187.84,188.6
2005-02-04,6.4731,187.84,186.62,189.67,189.69
2005-02-05,6.4731,187.84,186.62,189.67,189.69
2005-02-06,6.4731,187.84,186.62,189.67,189.69
2005-02-07,6.5731,189.67,189.29,190.77,191.22
