Column1;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
03.01.2005;11.15;11.11;11.2305;11.2125;0;11.18;11.14;11.2605;11.2425;0.1
04.01.2005;11.205;11.205;11.3825;11.365;0.0;11.235;11.235;11.4125;11.395;0.0
05.01.2005;11.36;11.3073;11.412;11.341;0.0;11.39;11.3373;11.442;11.371;0.0
06.01.2005;11.33;11.33;11.419;11.3625;0.0;11.36;11.36;11.449;11.3925;0.0
07.01.2005;11.368;11.2493;11.369;11.263;0.0;11.398;11.2743;11.399;11.293;0.0
10.01.2005;11.27;11.2218;11.2735;11.2225;0.0;11.3;11.2518;11.3035;11.2525;0.0
11.01.2005;11.225;11.1788;11.2316;11.188;0.0;11.255;11.2088;11.2616;11.218;0.0
12.01.2005;11.205;11.142;11.2163;11.16;0.0;11.235;11.172;11.2463;11.19;0.0
13.01.2005;11.1555;11.155;11.2163;11.2163;0.0;11.1855;11.185;11.2463;11.2463;0.0
14.01.2005;11.2175;11.182;11.2465;11.2;0.0;11.2475;11.212;11.2765;11.23;0.0
17.01.2005;11.2175;11.182;11.2465;11.2;0.0;11.2475;11.212;11.2765;11.23;0.0
18.01.2005;11.225;11.218;11.262;11.2363;0.0;11.255;11.248;11.292;11.2663;0.0
19.01.2005;11.2325;11.1783;11.24;11.2078;0.0;11.2625;11.2083;11.27;11.2378;0.0
20.01.2005;11.1998;11.1998;11.3038;11.275;0.0;11.2298;11.2298;11.3238;11.295;0.0
21.01.2005;11.2738;11.2163;11.2875;11.226;0.0;11.2938;11.2463;11.3125;11.256;0.0
24.01.2005;11.2238;11.2048;11.2408;11.2308;0.0;11.2538;11.2348;11.2708;11.2608;0.0
25.01.2005;11.2338;11.2263;11.3165;11.278;0.0;11.2638;11.2563;11.3465;11.308;0.0
26.01.2005;11.283;11.2223;11.2835;11.2453;0.0;11.313;11.2523;11.3135;11.2753;0.0
27.01.2005;11.2458;11.2345;11.312;11.2665;0.0;11.2758;11.2595;11.332;11.2915;0.0
28.01.2005;11.2665;11.218;11.2793;11.2325;0.0;11.2915;11.243;11.3043;11.2625;0.0
31.01.2005;11.2363;11.154;11.238;11.162;0.0;11.2663;11.184;11.268;11.192;0.0
01.02.2005;11.161;11.148;11.1765;11.1575;0.0;11.191;11.178;11.2065;11.1875;0.0
02.02.2005;11.1575;11.1287;11.1638;11.1349;0.0;11.1875;11.1527;11.1938;11.1599;0.0
03.02.2005;11.1352;11.1305;11.1653;11.1465;0.0;11.1602;11.1555;11.1888;11.1715;0.0
04.02.2005;11.1463;11.1138;11.1626;11.1348;0.0;11.1713;11.1408;11.1843;11.1648;0.0
07.02.2005;11.1338;11.1188;11.1936;11.1785;0.0;11.1638;11.1488;11.2186;11.2035;0.0
