,6.1301,3.0175,2.9889,3.0138,3.0237
2005-01-04,6.2543,3.0139,3.0115,3.0927,3.1042
2005-01-05,6.2843,3.0925,3.0866,3.09,3.1367
2005-01-06,6.2858,3.0905,3.0885,3.1078,3.1319
2005-01-07,6.3208,3.1078,3.0806,3.1232,3.1409
2005-01-08,6.3208,3.1078,3.0806,3.1232,3.1409
2005-01-09,6.3208,3.1078,3.0806,3.1232,3.1409
2005-01-10,6.3028,3.1232,3.0938,3.0946,3.1329
2005-01-11,6.2713,3.0944,3.0807,3.087,3.0988
2005-01-12,6.2738,3.0867,3.0548,3.0604,3.1083
2005-01-13,6.2491,3.0602,3.0577,3.0849,3.0919
2005-01-14,6.267,3.0849,3.08,3.0905,3.1225
2005-01-15,6.267,3.0849,3.08,3.0905,3.1225
2005-01-16,6.267,3.0849,3.08,3.0905,3.1225
2005-01-17,6.3037,3.0905,3.0897,3.106,3.1163
2005-01-18,6.2971,3.1062,3.1059,3.137,3.1509
2005-01-19,6.3024,3.137,3.1107,3.1276,3.1463
2005-01-20,6.3411,3.1276,3.1222,3.1584,3.1976
2005-01-21,6.3474,3.1584,3.0994,3.1134,3.1619
2005-01-22,6.3474,3.1584,3.0994,3.1134,3.1619
2005-01-23,6.3474,3.1584,3.0994,3.1134,3.1619
2005-01-24,6.3143,3.1135,3.104,3.1159,3.12
2005-01-25,6.3458,3.1159,3.106,3.1348,3.1479
2005-01-26,6.3504,3.1348,3.0964,3.0999,3.1413
2005-01-27,6.3496,3.0998,3.0929,3.1101,3.1204
2005-01-28,6.3645,3.1102,3.0781,3.1074,3.125
2005-01-29,6.3645,3.1102,3.0781,3.1074,3.125
2005-01-30,6.3645,3.1102,3.0781,3.1074,3.125
2005-01-31,6.372,3.1071,3.1017,3.1067,3.1318
2005-02-01,6.3795,3.1066,3.0978,3.0985,3.1169
2005-02-02,6.35,3.0987,3.0745,3.0779,3.1129
2005-02-03,6.4004,3.0779,3.0533,3.0586,3.0895
2005-02-04,6.4731,3.0586,3.0491,3.0871,3.0877
2005-02-05,6.4731,3.0586,3.0491,3.0871,3.0877
2005-02-06,6.4731,3.0586,3.0491,3.0871,3.0877
2005-02-07,6.5731,3.0874,3.0737,3.0964,3.1043
2005-02-08,6.598,3.0965,3.0933,3.1241,3.1384
2005-02-09,6.5743,3.1243,3.1127,3.1171,3.1535
2005-02-10,6.6297,3.1171,3.102,3.1085,3.1426
2005-02-11,6.5697,3.1085,3.0869,3.0957,3.1381
2005-02-12,6.5697,3.1085,3.0869,3.0957,3.1381
2005-02-13,6.5697,3.1085,3.0869,3.0957,3.1381
2005-02-14,6.5333,3.0957,3.0771,3.0847,3.1072
2005-02-15,6.4856,3.0849,3.0435,3.0474,3.0856
2005-02-16,6.4561,3.0473,3.0384,3.0507,3.0874
2005-02-17,6.4318,3.0506,3.0437,3.0484,3.0702
2005-02-18,6.3732,3.0484,3.0258,3.049,3.0665
2005-02-19,6.3732,3.0484,3.0258,3.049,3.0665
