===============================================================================
Id,USDDKK,len,datetime,open,high,low,close,volume,openinterest,USDPLN,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,USDDKK,USDPLN
1,USDDKK,1,2005-01-04 23:59:59.999989,5.5106,5.507,5.6101,5.602,0.0,,USDPLN,1,2005-01-04 23:59:59.999989,3.0139,3.0115,3.1042,3.0927,0.0,,TestStrategy,1,731950.9999999999,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,USDDKK,2,2005-01-05 23:59:59.999989,5.602,5.5906,5.6282,5.609,0.0,,USDPLN,2,2005-01-05 23:59:59.999989,3.0925,3.0866,3.1367,3.09,0.0,,TestStrategy,2,731951.9999999999,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,USDDKK,3,2005-01-06 23:59:59.999989,5.609,5.6043,5.6538,5.6359,0.0,,USDPLN,3,2005-01-06 23:59:59.999989,3.0905,3.0885,3.1319,3.1078,0.0,,TestStrategy,3,731952.9999999999,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,USDDKK,4,2005-01-07 23:59:59.999989,5.6359,5.6133,5.7107,5.6866,0.0,,USDPLN,4,2005-01-07 23:59:59.999989,3.1078,3.0806,3.1409,3.1232,0.0,,TestStrategy,4,731953.9999999999,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,USDDKK,5,2005-01-10 23:59:59.999989,5.6866,5.6623,5.6959,5.6636,0.0,,USDPLN,5,2005-01-10 23:59:59.999989,3.1232,3.0938,3.1329,3.0946,0.0,,TestStrategy,5,731956.9999999999,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,USDDKK,6,2005-01-11 23:59:59.999989,5.6636,5.6468,5.6775,5.6713,0.0,,USDPLN,6,2005-01-11 23:59:59.999989,3.0944,3.0807,3.0988,3.087,0.0,,TestStrategy,6,731957.9999999999,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,USDDKK,7,2005-01-12 23:59:59.999989,5.6713,5.5953,5.6847,5.6109,0.0,,USDPLN,7,2005-01-12 23:59:59.999989,3.0867,3.0548,3.1083,3.0604,0.0,,TestStrategy,7,731958.9999999999,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,USDDKK,8,2005-01-13 23:59:59.999989,5.6113,5.6062,5.6761,5.6701,0.0,,USDPLN,8,2005-01-13 23:59:59.999989,3.0602,3.0577,3.0919,3.0849,0.0,,TestStrategy,8,731959.9999999999,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,USDDKK,9,2005-01-14 23:59:59.999989,5.6701,5.6616,5.6964,5.672,0.0,,USDPLN,9,2005-01-14 23:59:59.999989,3.0849,3.08,3.1225,3.0905,0.0,,TestStrategy,9,731960.9999999999,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,USDDKK,10,2005-01-17 23:59:59.999989,5.672,5.6657,5.7183,5.7068,0.0,,USDPLN,10,2005-01-17 23:59:59.999989,3.0905,3.0897,3.1163,3.106,0.0,,TestStrategy,10,731963.9999999999,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,USDDKK,11,2005-01-18 23:59:59.999989,5.7068,5.689,5.7242,5.7098,0.0,,USDPLN,11,2005-01-18 23:59:59.999989,3.1062,3.1059,3.1509,3.137,0.0,,TestStrategy,11,731964.9999999999,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,USDDKK,12,2005-01-19 23:59:59.999989,5.7098,5.6698,5.7382,5.718,0.0,,USDPLN,12,2005-01-19 23:59:59.999989,3.137,3.1107,3.1463,3.1276,0.0,,TestStrategy,12,731965.9999999999,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,USDDKK,13,2005-01-20 23:59:59.999989,5.718,5.7112,5.7576,5.7418,0.0,,USDPLN,13,2005-01-20 23:59:59.999989,3.1276,3.1222,3.1976,3.1584,0.0,,TestStrategy,13,731966.9999999999,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
